Property URL,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Image URL,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,Latitude,Longitude,Zillow property ID,Property is a building,Building name,Unit availability count
"https://www.zillow.com/homedetails/25-Gemshaw-Cres-1-Toronto-ON-M1B-1L3/442319970_zpid/","Apartment","4","11/02/2024","3499","1900","sqft","1.84","4","2","https://photos.zillowstatic.com/fp/5a5be185ba542779cc662049a5f4ad65-p_e.jpg","No","No","# 1","25 Gemshaw Cres","Toronto","NaN","43.799698","-79.21291","442319970","","",""
"https://www.zillow.com/homedetails/60-Pegasus-Trl-1-Toronto-ON-M1G-3N7/442319539_zpid/","Apartment","4","11/02/2024","3195","1500","sqft","2.13","4","2","https://photos.zillowstatic.com/fp/81c6f527223b035f4b72a62f66c19298-p_e.jpg","No","No","# 1","60 Pegasus Trl","Toronto","NaN","43.781464","-79.221504","442319539","","",""
"https://www.zillow.com/homedetails/62-Coe-Hill-Dr-BASEMENT-Toronto-ON-M6S-3C8/2053894313_zpid/","Apartment","","","2800","1000","sqft","2.8","4","1","https://photos.zillowstatic.com/fp/fb61dbf4e2168aea1674ac2e53effd5a-p_e.jpg","No","No","# BASEMENT","62 Coe Hill Dr","Toronto","NaN","43.639843","-79.470604","2053894313","","",""
"https://www.zillow.com/b/building/43.702034,-79.41952_ll/","Building","28","10/09/2024","","","","","","","https://photos.zillowstatic.com/fp/aa7b6ca6a351d102b83d96ea443525bb-p_e.jpg","","","","45 Gardiner Rd","Toronto","NaN","43.702034","-79.41952","43.702034--79.41952","Yes","Violet-Zero Building (Randomly generated building name as it is not provided by Zillow)","2"
"https://www.zillow.com/b/building/43.702034,-79.41952_ll/","Apartment","","","4200","","","","4","","","","","","45 Gardiner Rd","Toronto","NaN","","","","No","Unit located in: Violet-Zero Building",""
"https://www.zillow.com/homedetails/19-Tyndall-Ave-3-Toronto-ON-M6K-2E8/2071881223_zpid/","Apartment","91","08/07/2024","3475","1750","sqft","1.99","4","1","https://photos.zillowstatic.com/fp/24130b06e8bf27d7111230e3ca1b058b-p_e.jpg","No","No","# 3","19 Tyndall Ave","Toronto","NaN","43.635006","-79.42732","2071881223","","",""
"https://www.zillow.com/homedetails/150-Palmerston-Ave-A-Toronto-ON-M6J-2J1/401870136_zpid/","Apartment","24","10/13/2024","3800","1500","sqft","2.53","4","2","https://photos.zillowstatic.com/fp/59e633cbfd45335193b326dbdea2a345-p_e.jpg","No","No","# A","150 Palmerston Ave","Toronto","NaN","43.65132","-79.40866","401870136","","",""
"https://www.zillow.com/homedetails/26-Gibbs-Rd-327-Toronto-ON-M9B-6L6/2063400096_zpid/","Condominium","0","11/06/2024","3500","","","","4","2","https://photos.zillowstatic.com/fp/a5dd7d72dd7139d74daa18f5b5ca8863-p_e.jpg","No","No","# 327","26 Gibbs Rd","Toronto","NaN","43.63921","-79.55818","2063400096","","",""
"https://www.zillow.com/homedetails/9-Deer-Park-Cres-1501-Toronto-ON-M4V-2C4/442365906_zpid/","Condominium","1","11/05/2024","4595","","","","4","2","https://photos.zillowstatic.com/fp/4f577fe54acc8d1cfe804d47c45d69f4-p_e.jpg","No","No","# 1501","9 Deer Park Cres","Toronto","NaN","43.688107","-79.397995","442365906","","",""
"https://www.zillow.com/homedetails/36-Blue-Jays-Way-711-712-Toronto-ON-M5V-3T3/2060747024_zpid/","Condominium","2","11/04/2024","11250","","","","4","4","https://photos.zillowstatic.com/fp/d8aed8f4364f8cef3e9f869a2f22fd3d-p_e.jpg","No","No","# 711-712","36 Blue Jays Way","Toronto","NaN","43.644882","-79.3921","2060747024","","",""
"https://www.zillow.com/homedetails/6-Rosebank-Dr-9M-Toronto-ON-M1B-0A1/2069136866_zpid/","Condominium","2","11/04/2024","3500","","","","4","2","","No","No","# 9M","6 Rosebank Dr","Toronto","NaN","43.792774","-79.23711","2069136866","","",""
"https://www.zillow.com/homedetails/10-Capreol-Ct-1609-Toronto-ON-M5V-4B3/2083967259_zpid/","Condominium","5","11/01/2024","5300","","","","4","2","https://photos.zillowstatic.com/fp/229bd745085b8e8763703d660926466c-p_e.jpg","No","No","# 1609","10 Capreol Ct","Toronto","NaN","43.640266","-79.39601","2083967259","","",""
"https://www.zillow.com/homedetails/295-A-Pacific-Ave-B-Toronto-ON-M6P-2P8/442299336_zpid/","Apartment","5","11/01/2024","3500","","","","4","2","https://photos.zillowstatic.com/fp/c8412863f50bdb2b7cf356c2262b9614-p_e.jpg","No","No","# B","295 A Pacific Ave","Toronto","NaN","43.661884","-79.46677","442299336","","",""
"https://www.zillow.com/homedetails/29-Queens-Quay-E-PENTHOUSE-1404-Toronto-ON-M5E-0A4/442277271_zpid/","Condominium","5","11/01/2024","14000","","","","4","4","https://photos.zillowstatic.com/fp/6fc899c1aaf3e2e5342df874fd99e75b-p_e.jpg","No","No","# Penthouse 1404","29 Queens Quay E  1404","Toronto","NaN","43.641262","-79.37286","442277271","","",""
