Property URL,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Image URL,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,Latitude,Longitude,Zillow property ID,Property is a building,Building name,Unit availability count
"https://www.zillow.com/homedetails/413-Markham-St-Toronto-ON-M6G-2L1/2063459583_zpid/","Apartment","2","11/04/2024","2400","900","sqft","2.67","1","1","https://photos.zillowstatic.com/fp/071783d70d4ae77b37ecda89540035c2-p_e.jpg","No","No","","413 Markham St","Toronto","NaN","43.66035","-79.41031","2063459583","","",""
"https://www.zillow.com/homedetails/1221-King-St-W-7026-Toronto-ON-M6K-1G3/2054131263_zpid/","Apartment","2","11/04/2024","2200","500","sqft","4.4","1","1","https://photos.zillowstatic.com/fp/bad52492b2ddfceb88565d9951159806-p_e.jpg","No","No","# 7026","1221 King St W","Toronto","NaN","43.638584","-79.427666","2054131263","","",""
"https://www.zillow.com/homedetails/47-Lower-River-St-Toronto-ON-M5A-0G1/2079696219_zpid/","Apartment","2","11/04/2024","2200","500","sqft","4.4","1","1","https://photos.zillowstatic.com/fp/b12aee8bf97cbc84da391e4f238c8c27-p_e.jpg","No","No","","47 Lower River St","Toronto","NaN","43.656498","-79.35554","2079696219","","",""
"https://www.zillow.com/b/1350-ellesmere-rd-toronto-on-CdHcS7/","Building","3","11/03/2024","","","","","","","https://photos.zillowstatic.com/fp/7c14d52e8273778618163ba587412dfc-p_e.jpg","","","","1350 Ellesmere Rd","Toronto","NaN","43.770374","-79.26186","43.770374--79.26186","Yes","Red-Three Building (Randomly generated building name as it is not provided by Zillow)","3"
"https://www.zillow.com/b/1350-ellesmere-rd-toronto-on-CdHcS7/","Apartment","","","2200","","","","1","","","","","","1350 Ellesmere Rd","Toronto","NaN","","","","No","Unit located in: Red-Three Building",""
"https://www.zillow.com/homedetails/Toronto-ON-M8V-1P2/442329493_zpid/","Apartment","3","11/03/2024","1700","750","sqft","2.27","1","1","https://photos.zillowstatic.com/fp/045a354ecb75f0b61226f01c29c651d7-p_e.jpg","No","No","","","Toronto","NaN","","","442329493","","",""
"https://www.zillow.com/b/15-holmes-ave-toronto-on-BMLFHn/","Building","5","11/01/2024","","","","","","","https://photos.zillowstatic.com/fp/2e6b0147bec88fb51585dbac39b6c331-p_e.jpg","","","","15 Holmes Ave","Toronto","NaN","43.777615","-79.414","43.777615--79.414","Yes","Blue-Four Building (Randomly generated building name as it is not provided by Zillow)","7"
"https://www.zillow.com/b/15-holmes-ave-toronto-on-BMLFHn/","Apartment","","","2350","","","","1","","","","","","15 Holmes Ave","Toronto","NaN","","","","No","Unit located in: Blue-Four Building",""
"https://www.zillow.com/b/28-widmer-st-toronto-on-BstSqT/","Building","6","10/31/2024","","","","","","","https://photos.zillowstatic.com/fp/4504aafdedd46e32fc0284717b92c8b3-p_e.jpg","","","","28 Widmer St","Toronto","NaN","43.647274","-79.39167","43.647274--79.39167","Yes","Violet-Five Building (Randomly generated building name as it is not provided by Zillow)","11"
"https://www.zillow.com/b/28-widmer-st-toronto-on-BstSqT/","Apartment","","","2250","","","","1","","","","","","28 Widmer St","Toronto","NaN","","","","No","Unit located in: Violet-Five Building",""
"https://www.zillow.com/b/15-iceboat-ter-toronto-on-BMCLyQ/","Building","6","10/31/2024","","","","","","","https://photos.zillowstatic.com/fp/8f9a08bc20556c8e77bad5b53c25813b-p_e.jpg","","","","15 Iceboat Ter","Toronto","NaN","43.640507","-79.396904","43.640507--79.396904","Yes","Green-Nine Building (Randomly generated building name as it is not provided by Zillow)","6"
"https://www.zillow.com/b/15-iceboat-ter-toronto-on-BMCLyQ/","Apartment","","","2300","","","","1","","","","","","15 Iceboat Ter","Toronto","NaN","","","","No","Unit located in: Green-Nine Building",""
