Property URL,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Image URL,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,Latitude,Longitude,Zillow property ID,Property is a building,Building name,Unit availability count
"https://www.zillow.com/b/31-romulus-dr-toronto-on-BML5b3/","Building","","","","","","","","","https://photos.zillowstatic.com/fp/423c26d9971b3449e4db492502a2e419-p_e.jpg","","","","31 Romulus Dr","Toronto","NaN","43.744896","-79.26657","43.744896--79.26657","Yes","Orange-Six Building (Randomly generated building name as it is not provided by Zillow)","2"
"https://www.zillow.com/b/31-romulus-dr-toronto-on-BML5b3/","Apartment","","","2999","","","","3","","","","","","31 Romulus Dr","Toronto","NaN","","","","No","Unit located in: Orange-Six Building",""
"https://www.zillow.com/homedetails/24-Acre-Heights-Cres-2-Toronto-ON-M1H-2N9/442327950_zpid/","Apartment","3","11/03/2024","2495","1000","sqft","2.5","3","2","https://photos.zillowstatic.com/fp/f99e45f8d1320f6b62035561359fd48f-p_e.jpg","No","No","# 2","24 Acre Heights Cres","Toronto","NaN","43.76663","-79.24891","442327950","","",""
"https://www.zillow.com/homedetails/131-Torresdale-Ave-1407-Toronto-ON-M2R-3T1/442100330_zpid/","Apartment","11","10/26/2024","4000","1650","sqft","2.42","3","2","https://photos.zillowstatic.com/fp/480af496bd869d479dc468ba31c28bcb-p_e.jpg","No","No","# 1407","131 Torresdale Ave","Toronto","NaN","43.778008","-79.45272","442100330","","",""
"https://www.zillow.com/homedetails/73-Brimley-Rd-BASEMENT-2-Toronto-ON-M1M-3H7/2054377788_zpid/","Apartment","0","11/06/2024","2295","600","sqft","3.83","3","1","https://photos.zillowstatic.com/fp/3c4e7f4d2ae47be728d175540ef825f9-p_e.jpg","No","No","Basement 2","73 Brimley Rd BASEMENT 2","Toronto","NaN","43.72387","-79.24231","2054377788","","",""
"https://www.zillow.com/homedetails/49-Cordella-Ave-1-Toronto-ON-M6N-2J7/441566240_zpid/","Apartment","31","10/06/2024","3500","850","sqft","4.12","3","1","https://photos.zillowstatic.com/fp/dbcde6eb149217018e81f0597bfed196-p_e.jpg","No","No","# 1","49 Cordella Ave","Toronto","NaN","43.681416","-79.48252","441566240","","",""
"https://www.zillow.com/homedetails/326-High-Park-Ave-2-Toronto-ON-M6P-2S7/439437265_zpid/","Apartment","5","11/01/2024","3995","1250","sqft","3.2","3","2","https://photos.zillowstatic.com/fp/3f010ef68d0a2ca6503016fcf5408f00-p_e.jpg","No","No","# 2","326 High Park Ave","Toronto","NaN","43.664787","-79.47044","439437265","","",""
"https://www.zillow.com/homedetails/2A-Tiverton-Ave-1-Toronto-ON-M4M-2L9/352006285_zpid/","Apartment","148","06/11/2024","3999","1900","sqft","2.1","3","2","https://photos.zillowstatic.com/fp/78fd3e1c7a9d6de455efab076b5c2791-p_e.jpg","No","No","# 1","2A Tiverton Ave","Toronto","NaN","43.66404","-79.345215","352006285","","",""
"https://www.zillow.com/homedetails/103-Baldwin-St-Toronto-ON-M5T-1L5/2057480386_zpid/","Apartment","49","09/18/2024","3600","700","sqft","5.14","3","1","https://photos.zillowstatic.com/fp/21ef33b97867ab3fda82f9a75d832427-p_e.jpg","No","No","","103 Baldwin St","Toronto","NaN","43.655193","-79.396614","2057480386","","",""
"https://www.zillow.com/homedetails/75-Kenwood-Ave-1-Toronto-ON-M6C-2S1/402484456_zpid/","Apartment","103","07/26/2024","3200","1000","sqft","3.2","3","1","https://photos.zillowstatic.com/fp/ab5d2d7ab8f27343f7811ab4d484dee5-p_e.jpg","No","No","# 1","75 Kenwood Ave","Toronto","NaN","43.684887","-79.4227","402484456","","",""
