Property URL,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Image URL,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,Latitude,Longitude,Zillow property ID,Property is a building,Building name,Unit availability count
"https://www.zillow.com/homedetails/50-Prince-Arthur-Ave-Toronto-ON-M5R-1B5/2055263360_zpid/","Apartment","","","5086","","","","2","2","https://photos.zillowstatic.com/fp/26d7d80c30866f66078cfca37e4ff6e7-p_e.jpg","No","No","","50 Prince Arthur Ave","Toronto","NaN","43.669453","-79.39861","2055263360","","",""
"https://www.zillow.com/homedetails/218-Catalina-Dr-A-Toronto-ON-M1E-1B7/442306822_zpid/","Apartment","0","11/06/2024","2795","1100","sqft","2.54","2","1","https://photos.zillowstatic.com/fp/8286b28e6b4ee1cad99d98873f9209b2-p_e.jpg","No","No","# A","218 Catalina Dr","Toronto","NaN","43.743393","-79.201195","442306822","","",""
"https://www.zillow.com/homedetails/301-Dixon-Rd-Toronto-ON-M9R-1S2/2077574848_zpid/","Apartment","1","11/05/2024","2650","900","sqft","2.94","2","1","https://photos.zillowstatic.com/fp/c033c88a2329ac29479efee450ad5059-p_e.jpg","No","No","","301 Dixon Rd","Toronto","NaN","43.694912","-79.55257","2077574848","","",""
"https://www.zillow.com/homedetails/Toronto-ON-M6R-2Z7/442344252_zpid/","Apartment","2","11/04/2024","2995","1500","sqft","2","2","1","https://photos.zillowstatic.com/fp/74a4bf4b3578c1ac93040014183eaf35-p_e.jpg","No","No","","","Toronto","NaN","","","442344252","","",""
"https://www.zillow.com/b/5500-yonge-st-toronto-on-BMHh3z/","Building","2","11/04/2024","","","","","","","https://photos.zillowstatic.com/fp/9df53ce55680bd0870038e3710259f73-p_e.jpg","","","","5500 Yonge St Unit 310","Toronto","NaN","43.77807","-79.415825","43.77807--79.415825","Yes","Green-Five Building (Randomly generated building name as it is not provided by Zillow)","3"
"https://www.zillow.com/b/5500-yonge-st-toronto-on-BMHh3z/","Apartment","","","2650","","","","2","","","","","","5500 Yonge St Unit 310","Toronto","NaN","","","","No","Unit located in: Green-Five Building",""
"https://www.zillow.com/homedetails/25-Gemshaw-Cres-2-Toronto-ON-M1B-1L3/442320392_zpid/","Apartment","4","11/02/2024","2150","700","sqft","3.07","2","1","https://photos.zillowstatic.com/fp/40d27dc66a748eae5c889ecabb57e616-p_e.jpg","No","No","# 2","25 Gemshaw Cres","Toronto","NaN","43.799698","-79.21291","442320392","","",""
"https://www.zillow.com/homedetails/39-Huron-St-2-Toronto-ON-M5T-2A4/442320504_zpid/","Apartment","3","11/03/2024","3000","700","sqft","4.29","2","1","https://photos.zillowstatic.com/fp/64ae3df2fa7d8dfa88085af4bd341319-p_e.jpg","No","No","# 2","39 Huron St","Toronto","NaN","43.651947","-79.395256","442320504","","",""
"https://www.zillow.com/b/3-rowntree-rd-toronto-on-BMKHWs/","Building","4","11/02/2024","","","","","","","https://photos.zillowstatic.com/fp/e2796ad3d2fb230ca704ff42207da71d-p_e.jpg","","","","3 Rowntree Rd","Toronto","NaN","43.75042","-79.58173","43.75042--79.58173","Yes","Red-Seven Building (Randomly generated building name as it is not provided by Zillow)","3"
"https://www.zillow.com/b/3-rowntree-rd-toronto-on-BMKHWs/","Apartment","","","3000","","","","2","","","","","","3 Rowntree Rd","Toronto","NaN","","","","No","Unit located in: Red-Seven Building",""
"https://www.zillow.com/homedetails/1110-Briar-Hill-Ave-201-Toronto-ON-M6B-0A9/2055541309_zpid/","Apartment","3","11/03/2024","2600","750","sqft","3.47","2","1","https://photos.zillowstatic.com/fp/6448350a11572ae80371f4cdd00bb0cd-p_e.jpg","No","No","# 201","1110 Briar Hill Ave","Toronto","NaN","43.70293","-79.45105","2055541309","","",""
"https://www.zillow.com/homedetails/2839-Keele-St-1-Toronto-ON-M3M-2G7/442292169_zpid/","Apartment","5","11/01/2024","2450","750","sqft","3.27","2","1","https://photos.zillowstatic.com/fp/ed31469f3811c076323bf8e92f2d71b2-p_e.jpg","No","No","# 1","2839 Keele St","Toronto","NaN","43.732067","-79.48294","442292169","","",""
"https://www.zillow.com/homedetails/28-Olive-Ave-912-Toronto-ON-M2N-7E6/348944745_zpid/","Apartment","7","10/30/2024","2550","600","sqft","4.25","2","1","https://photos.zillowstatic.com/fp/a5a1ee851ff2e18efbc1f9017f8f0a8f-p_e.jpg","No","No","# 912","28 Olive Ave","Toronto","NaN","43.779377","-79.41363","348944745","","",""
"https://www.zillow.com/homedetails/900-Saint-Clair-Ave-W-306-Toronto-ON-M6C-1C5/442233484_zpid/","Apartment","7","10/30/2024","2995","850","sqft","3.52","2","2","https://photos.zillowstatic.com/fp/42110d41e42428b5143443398e354d20-p_e.jpg","No","No","# 306","900 Saint Clair Ave W","Toronto","NaN","43.680336","-79.43353","442233484","","",""
"https://www.zillow.com/b/99-john-st-toronto-on-C3DWzn/","Building","7","10/30/2024","","","","","","","https://photos.zillowstatic.com/fp/ffb545c1481e4e7e36e580b7cc3b4379-p_e.jpg","","","","99 John St","Toronto","NaN","43.704315","-79.51418","43.704315--79.51418","Yes","Indigo-Five Building (Randomly generated building name as it is not provided by Zillow)","3"
"https://www.zillow.com/b/99-john-st-toronto-on-C3DWzn/","Apartment","","","2750","","","","2","","","","","","99 John St","Toronto","NaN","","","","No","Unit located in: Indigo-Five Building",""
"https://www.zillow.com/b/5-saint-joseph-st-toronto-on-BMJ9Jg/","Building","8","10/29/2024","","","","","","","https://photos.zillowstatic.com/fp/963a3f03c0a4a0dbd3bc75bc3552cf26-p_e.jpg","","","","5 Saint Joseph St","Toronto","NaN","43.665787","-79.38558","43.665787--79.38558","Yes","Indigo-Three Building (Randomly generated building name as it is not provided by Zillow)","6"
"https://www.zillow.com/b/5-saint-joseph-st-toronto-on-BMJ9Jg/","Apartment","","","2800","","","","2","","","","","","5 Saint Joseph St","Toronto","NaN","","","","No","Unit located in: Indigo-Three Building",""
"https://www.zillow.com/b/1808-saint-clair-ave-w-toronto-on-C4Txgn/","Building","9","10/28/2024","","","","","","","https://photos.zillowstatic.com/fp/2b6d4ea74f44e8f999782e50fe6ff65a-p_e.jpg","","","","1808 Saint Clair Ave W","Toronto","NaN","43.673958","-79.46236","43.673958--79.46236","Yes","Violet-Eight Building (Randomly generated building name as it is not provided by Zillow)","3"
"https://www.zillow.com/b/1808-saint-clair-ave-w-toronto-on-C4Txgn/","Apartment","","","2600","","","","2","","","","","","1808 Saint Clair Ave W","Toronto","NaN","","","","No","Unit located in: Violet-Eight Building",""
"https://www.zillow.com/b/8-eglinton-ave-toronto-on-BMW8pL/","Building","10","10/27/2024","","","","","","","https://photos.zillowstatic.com/fp/dea9059edaf2ef76fe0114164874670d-p_e.jpg","","","","8 Eglinton Ave  E","Toronto","NaN","43.707085","-79.39774","43.707085--79.39774","Yes","Red-Five Building (Randomly generated building name as it is not provided by Zillow)","3"
"https://www.zillow.com/b/8-eglinton-ave-toronto-on-BMW8pL/","Apartment","","","2300","","","","2","","","","","","8 Eglinton Ave  E","Toronto","NaN","","","","No","Unit located in: Red-Five Building",""
"https://www.zillow.com/b/building/43.655106,-79.37625_ll/","Building","9","10/28/2024","","","","","","","https://photos.zillowstatic.com/fp/d315fa65856e7de6062da4b444594f84-p_e.jpg","","","","60 Shuter St","Toronto","NaN","43.655106","-79.37625","43.655106--79.37625","Yes","Red-Two Building (Randomly generated building name as it is not provided by Zillow)","10"
