Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/50-Prince-Arthur-Ave-Toronto-ON-M5R-1B5/2055263360_zpid/","Apartment","5086","","","","2","2","50 Prince Arthur Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/218-Catalina-Dr-A-Toronto-ON-M1E-1B7/442306822_zpid/","Apartment","2795","1100","sqft","2.54","2","1","218 Catalina Dr","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/301-Dixon-Rd-Toronto-ON-M9R-1S2/2077574848_zpid/","Apartment","2650","900","sqft","2.94","2","1","301 Dixon Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/Toronto-ON-M6R-2Z7/442344252_zpid/","Apartment","2995","1500","sqft","2","2","1","","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/413-Markham-St-Toronto-ON-M6G-2L1/2063459583_zpid/","Apartment","2400","900","sqft","2.67","1","1","413 Markham St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/1221-King-St-W-7026-Toronto-ON-M6K-1G3/2054131263_zpid/","Apartment","2200","500","sqft","4.4","1","1","1221 King St W","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/47-Lower-River-St-Toronto-ON-M5A-0G1/2079696219_zpid/","Apartment","2200","500","sqft","4.4","1","1","47 Lower River St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/5500-yonge-st-toronto-on-BMHh3z/","Building","","","","","","","5500 Yonge St Unit 310","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/1350-ellesmere-rd-toronto-on-CdHcS7/","Building","","","","","","","1350 Ellesmere Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/25-gemshaw-cres-toronto-on-CHF7Hz/","Building","","","","","","","25 Gemshaw Cres","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/39-Huron-St-2-Toronto-ON-M5T-2A4/442320504_zpid/","Apartment","3000","700","sqft","4.29","2","1","39 Huron St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/60-Pegasus-Trl-1-Toronto-ON-M1G-3N7/442319539_zpid/","Apartment","3195","1500","sqft","2.13","4","2","60 Pegasus Trl","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/3-rowntree-rd-toronto-on-BMKHWs/","Building","","","","","","","3 Rowntree Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/Toronto-ON-M8V-1P2/442329493_zpid/","Apartment","1700","750","sqft","2.27","1","1","","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/24-Acre-Heights-Cres-2-Toronto-ON-M1H-2N9/442327950_zpid/","Apartment","2495","1000","sqft","2.5","3","2","24 Acre Heights Cres","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/15-holmes-ave-toronto-on-BMLFHn/","Building","","","","","","","15 Holmes Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/28-widmer-st-toronto-on-BstSqT/","Building","","","","","","","28 Widmer St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/15-iceboat-ter-toronto-on-BMCLyQ/","Building","","","","","","","15 Iceboat Ter","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/1110-Briar-Hill-Ave-201-Toronto-ON-M6B-0A9/2055541309_zpid/","Apartment","2600","750","sqft","3.47","2","1","1110 Briar Hill Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/120-Rowntree-Mill-Rd-2-Toronto-ON-M9L-1C9/442326900_zpid/","Apartment","1645","800","sqft","2.06","1","1","120 Rowntree Mill Rd","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/1100-sheppard-ave-w-toronto-on-CgMJ7T/","Building","","","","","","","1100 Sheppard Ave W","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/2839-keele-st-toronto-on-ChZQHx/","Building","","","","","","","2839 Keele St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/28-olive-ave-toronto-on-BMJ95M/","Building","","","","","","","28 Olive Ave","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/900-Saint-Clair-Ave-W-306-Toronto-ON-M6C-1C5/442233484_zpid/","Apartment","2995","850","sqft","3.52","2","2","900 Saint Clair Ave W","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/99-john-st-toronto-on-C3DWzn/","Building","","","","","","","99 John St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/5-saint-joseph-st-toronto-on-BMJ9Jg/","Building","","","","","","","5 Saint Joseph St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/368-George-St-301-Toronto-ON-M5A-2N3/442319710_zpid/","Apartment","1749","550","sqft","3.18","1","1","368 George St","Toronto","NaN","ON","USA"
"https://www.zillow.com/b/1808-saint-clair-ave-w-toronto-on-C4Txgn/","Building","","","","","","","1808 Saint Clair Ave W","Toronto","NaN","ON","USA"
"https://www.zillow.com/apartments/toronto-on/197-yonge-st/BMLDwr/","Building","","","","","","","197 Yonge St","Toronto","NaN","ON","USA"
"https://www.zillow.com/homedetails/1-Thyra-Ave-2-Toronto-ON-M4C-5G4/442151118_zpid/","Apartment","2195","550","sqft","3.99","1","1","1 Thyra Ave","Toronto","NaN","ON","USA"
