"listing-card__contact-button href","Listing price","Verified","Updated","Bed","Bathroom","sqft","Address","listing-card__details-link href"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&sort=cheapest#","$1000","Verified","Recently Updated!","1","1","1200","30 Thunder Grove, Toronto, ON","https://rentals.ca/toronto/30-thunder-grove"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&sort=cheapest#","$1250","Verified","Recently Updated!","1","2","726","10 Deerlick Court, Toronto, ON","https://rentals.ca/toronto/10-deerlick-court-5"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&sort=cheapest#","$1250","Verified","Recently Updated!","1","1","1100","22 Wellesley Street East, Toronto, ON","https://rentals.ca/toronto/22-wellesley-street-east-id823797"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&sort=cheapest#","$1500","Verified","","1","1","700","60 George Butchart Drive, Toronto, ON","https://rentals.ca/toronto/60-george-butchart-drive"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&sort=cheapest#","$1600","","","1","1","1200","1121 Bay Street, Toronto, ON","https://rentals.ca/toronto/1121-bay-street-4"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&sort=cheapest#","$1650","Verified","","0","0","499","409 HURON Street, Toronto, ON","https://rentals.ca/toronto/409-huron-street-unit-207"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&sort=cheapest#","$1650","Verified","","0","0","499","409 HURON Street, Toronto, ON","https://rentals.ca/toronto/409-huron-street-unit-212"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&sort=cheapest#","$1700","","1 day ago","1","1","605","7161 Yonge Street, Markham, ON","https://rentals.ca/markham/7161-yonge-street-id909763"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&sort=cheapest#","$1700","Verified","","2","1","769","28 Ted Rogers Way, Toronto, ON","https://rentals.ca/toronto/28-ted-rogers-way-id895295"
"https://rentals.ca/toronto/condos?rentrange=1000&bbox=-79.62042,43.62913,-79.17067,43.82314&dimensions=300&sort=cheapest#","$1600","","14 hours ago","2","2","1105","360 Watson Street West, Whitby, ON","https://rentals.ca/whitby/360-watson-street-west"
