Listing price,Verified,Updated,Bed,Bathroom,sqft,Address,listing-card__details-link href,City/Zone,LAT,LONG
1000.0,Verified,Recently Updated!,1,1,1200,"30 Thunder Grove, Toronto, ON",https://rentals.ca/toronto/30-thunder-grove,Toronto,43.8095841,-79.2663287
1250.0,Verified,Recently Updated!,1,2,726,"10 Deerlick Court, Toronto, ON",https://rentals.ca/toronto/10-deerlick-court-5,Toronto,43.7591964,-79.33192380000001
1250.0,Verified,Recently Updated!,1,1,1100,"22 Wellesley Street East, Toronto, ON",https://rentals.ca/toronto/22-wellesley-street-east-id823797,Toronto,43.6654816,-79.3832754
1500.0,Verified,,1,1,700,"60 George Butchart Drive, Toronto, ON",https://rentals.ca/toronto/60-george-butchart-drive,Toronto,43.7360717,-79.4837927
1600.0,,,1,1,1200,"1121 Bay Street, Toronto, ON",https://rentals.ca/toronto/1121-bay-street-4,Toronto,43.6679864,-79.3885486
1650.0,Verified,,0,0,499,"409 HURON Street, Toronto, ON",https://rentals.ca/toronto/409-huron-street-unit-207,Toronto,43.6665833,-79.4009537
1650.0,Verified,,0,0,499,"409 HURON Street, Toronto, ON",https://rentals.ca/toronto/409-huron-street-unit-212,Toronto,43.6665833,-79.4009537
1700.0,Verified,,2,1,769,"28 Ted Rogers Way, Toronto, ON",https://rentals.ca/toronto/28-ted-rogers-way-id895295,Toronto,43.6707118,-79.38052429999999
1850.0,,1 day ago,1,1,552,"56 Annie Craig Drive, Toronto, ON",https://rentals.ca/toronto/56-annie-craig-drive-id904052,Toronto,43.6254787,-79.4788159
1850.0,,,1.5,2,654,"3237 Bayview Avenue, Toronto, ON",https://rentals.ca/toronto/3237-bayview-avenue-id904512,Toronto,43.7899719,-79.3926166
1850.0,,1 day ago,0,1,412,"2020 Bathurst St, Toronto, ON",https://rentals.ca/toronto/2020-bathurst-st-1,Toronto,43.70078609999999,-79.4256293
1850.0,,Recently Updated!,0,0.5,350,"28 Wellesley Street East, Toronto, ON",https://rentals.ca/toronto/28-wellesley-street-east-id696151,Toronto,43.6655834,-79.3827749
1875.0,Verified,,1,1,1200,"230 King Street East, Toronto, ON",https://rentals.ca/toronto/230-king-street-east-id865898,Toronto,43.6514464,-79.3681507
1900.0,Verified,Recently Updated!,1,1,400,"215 Queen Street West, Toronto, ON",https://rentals.ca/toronto/215-queen-street-west-id910368,Toronto,43.6504655,-79.3878063
1900.0,,Recently Updated!,1,1,679,"200 Woodbine Avenue, Toronto, ON",https://rentals.ca/toronto/200-woodbine-avenue-id908379,Toronto,43.66896680000001,-79.3061951
1900.0,,Recently Updated!,1.5,1,609,"1169 Queen Street West, Toronto, ON",https://rentals.ca/toronto/1169-queen-street-west-id908733,Toronto,43.6422546,-79.42581419999999
1900.0,Verified,,1,1,400,"195 McCaul Street, Toronto, ON",https://rentals.ca/toronto/195-mccaul-street,Toronto,43.6567194,-79.39214460000001
1900.0,Verified,,0.5,1,445,"99 John Street, Toronto, ON",https://rentals.ca/toronto/99-john-street-id903083,Toronto,43.6475245,-79.38993119999999
1950.0,Verified,Recently Updated!,1,1,500,"127 Broadway Avenue, Toronto, ON",https://rentals.ca/toronto/127-broadway-avenue-id908779,Toronto,43.7103794,-79.3921761
1950.0,Verified,,1,1,500,"127 Broadway Avenue, Toronto, ON",https://rentals.ca/toronto/127-broadway-avenue-id907123,Toronto,43.7103794,-79.3921761
1950.0,Verified,Recently Updated!,1,1,500,"127 Broadway Avenue, Toronto, ON",https://rentals.ca/toronto/127-broadway-line-5,Toronto,43.7103794,-79.3921761
1950.0,Verified,,1,1,450,"5 Defries Street, Toronto, ON",https://rentals.ca/toronto/5-defries-street-id906729,Toronto,43.6605705,-79.3563724
1950.0,,7 hours ago,1.5,1,683,"43 Eglinton Avenue East, Toronto, ON",https://rentals.ca/toronto/43-eglinton-avenue-east-id904100,Toronto,43.7069005,-79.3968967
1900.0,,,1.5,1,798,"1174 Yonge Street, Toronto, ON",https://rentals.ca/toronto/1174-yonge-street-id892392,Toronto,43.6805741,-79.39127780000001
1950.0,,,0,1,499,"8 Mercer Street, Toronto, ON",https://rentals.ca/toronto/8-mercer-street-id908038,Toronto,43.6459498,-79.3897558
1950.0,,7 hours ago,1,1,640,"38 Avoca Avenue, Toronto, ON",https://rentals.ca/toronto/38-avoca-avenue,Toronto,43.6886512,-79.38993479999999
1950.0,,,1.5,2,678,"11 Bogert Avenue, Toronto, ON",https://rentals.ca/toronto/11-bogert-avenue-id897685,Toronto,43.760176,-79.4115356
1950.0,,Recently Updated!,1,1,528,"800 Lawrence Avenue West, Toronto, ON",https://rentals.ca/toronto/800-lawrence-avenue-west-id894862,Toronto,43.7145659,-79.4529979
1962.0,,Recently Updated!,0,1,400,"100 Harbour Street, Toronto, ON",https://rentals.ca/toronto/100-harbour-street-id909772,Toronto,43.64177249999999,-79.37914599999999
1989.0,,Recently Updated!,0,0,411,"8 The Esplanade, Toronto, ON",https://rentals.ca/toronto/8-the-esplanade-id910435,Toronto,43.6461525,-79.37638199999999
1995.0,Verified,,1,1,450,"117 Broadway Avenue, Toronto, ON",https://rentals.ca/toronto/117-broadway-avenue-7,Toronto,43.71035699999999,-79.3925946
1995.0,Verified,13 hours ago,1,1,499,"36 Lisgar Street, Toronto, ON",https://rentals.ca/toronto/36-lisgar-street-id902193,Toronto,43.6420208,-79.4233917
1995.0,Verified,,1,1,550,"1 Thyra Avenue, East York, ON",https://rentals.ca/east-york/2-1-thyra-ave-east-york-ontario-m4c-5g4,East York,43.6913372,-79.2902733
1995.0,Verified,,1,1,520,"1195 The Queensway, Toronto, ON",https://rentals.ca/toronto/411-1195-the-queensway-toronto-ontario-m8z-0h1,Toronto,43.62163,-79.52248
2000.0,Verified,Recently Updated!,1,1,500,"425 Front Street East, Toronto, ON",https://rentals.ca/toronto/425-front-street-east-5,Toronto,43.6526799,-79.35710999999999
2000.0,Verified,,1,1,1085,"197 Yonge Street, Toronto, ON",https://rentals.ca/toronto/197-yonge-street-id907608,Toronto,43.65343590000001,-79.3791875
2000.0,,7 hours ago,1.5,1,605,"32 Forest Manor Road, Toronto, ON",https://rentals.ca/toronto/32-forest-manor-road-id904289,Toronto,43.7716527,-79.3446498
2000.0,Verified,,1,1,400,"55 Cooper Street, Toronto, ON",https://rentals.ca/toronto/55-cooper-street-8,Toronto,43.6449002,-79.37180579999999
2000.0,Verified,,1,1,500,"629 King Street West, Toronto, ON",https://rentals.ca/toronto/629-king-street-west-id906805,Toronto,43.644001,-79.4015398
2000.0,,Recently Updated!,1.5,2,877,"39 Jarvis Street, Toronto, ON",https://rentals.ca/toronto/39-jarvis-street-id907807,Toronto,43.6501641,-79.3715337
2000.0,,,0,0,380,"251 Jarvis Street, Toronto, ON",https://rentals.ca/toronto/251-jarvis-street-id906695,Toronto,43.65737670000001,-79.3744501
2000.0,,,1.5,2,675,"68 Abell Street, Toronto, ON",https://rentals.ca/toronto/68-abell-street-id892525,Toronto,43.6423205,-79.42436239999999
2050.0,,,0,1,378,"197 Yonge Street, Toronto, ON",https://rentals.ca/toronto/197-yonge-street-id905762,Toronto,43.65343590000001,-79.3791875
2050.0,,Recently Updated!,1,1,550,"275 Village Green Square, Scarborough, ON",https://rentals.ca/scarborough/275-village-green-square-3,Scarborough,43.77935799999999,-79.2830046
2095.0,Verified,,1.5,1,600,"90 Glen Everest Rd, Scarborough, ON",https://rentals.ca/scarborough/206-90-glen-everest-rd-scarborough-ontario-m1n-0c3,Scarborough,43.7031342,-79.25277299999999
2050.0,,,1,1,499,"5 Defries Street, Toronto, ON",https://rentals.ca/toronto/5-defries-street-8,Toronto,43.6605705,-79.3563724
2050.0,,,0,1,400,"82 Dalhousie Street, Toronto, ON",https://rentals.ca/toronto/82-dalhousie-street-id828546,Toronto,43.655802,-79.3764407
2099.0,,,0,1,380,"1 King Street West, Toronto, ON",https://rentals.ca/toronto/1-king-street-west-id803675,Toronto,43.6489445,-79.37814019999999
2100.0,Verified,,1,1,600,"125 Blue Jays Way, Toronto, ON",https://rentals.ca/toronto/125-blue-jays-way-1,Toronto,43.6460845,-79.3910992
2100.0,Verified,,1,1,538,"238 Simcoe Street, Toronto, ON",https://rentals.ca/toronto/238-simcoe-street-3,Toronto,43.6534014,-79.38904769999999
2100.0,,,1,1,441,"195 McCaul Street, Toronto, ON",https://rentals.ca/toronto/195-mccaul-street-id906705,Toronto,43.6567194,-79.39214460000001
2100.0,Verified,Recently Updated!,1,1,700,"1346 Danforth Road, Toronto, ON",https://rentals.ca/toronto/1346-danforth-road-4,Toronto,43.7441474,-79.2469547
2100.0,Verified,,1,1,500,"105 The Queensway, Toronto, ON",https://rentals.ca/toronto/105-the-queensway-id907113,Toronto,43.6358626,-79.471413
2100.0,,8 hours ago,1,1,500,"160 Vanderhoof Avenue, Toronto, ON",https://rentals.ca/toronto/160-vanderhoof-avenue-2,Toronto,43.7145528,-79.3532164
2100.0,,Recently Updated!,0,1,400,"224 King Street West, Toronto, ON",https://rentals.ca/toronto/224-king-street-west-id910446,Toronto,43.6474142,-79.3872935
2100.0,,Recently Updated!,1,1,562,"127 Broadway Avenue, Toronto, ON",https://rentals.ca/toronto/127-broadway-avenue-id905159,Toronto,43.7103794,-79.3921761
2100.0,,,0,1,438,"7 Mabelle Avenue, Toronto, ON",https://rentals.ca/toronto/7-mabelle-avenue,Toronto,43.6464782,-79.5254652
2100.0,,,1.5,1,700,"921 Midland Avenue, Toronto, ON",https://rentals.ca/toronto/921-midland-avenue-1,Toronto,43.73596149999999,-79.2579728
2100.0,,,1.5,1,500,"701 King Street West, Toronto, ON",https://rentals.ca/toronto/701-king-street-west,Toronto,43.6430497,-79.4037726
2100.0,Verified,,1,1,699,"22 East Haven Drive, Toronto, ON",https://rentals.ca/toronto/22-east-haven-drive,Toronto,43.7046836,-79.2517519
2100.0,Verified,1 day ago,1,1.5,600,"721 Lawrence Avenue West, Toronto, ON",https://rentals.ca/toronto/721-lawrence-avenue-west,Toronto,43.7148522,-79.4491496
2100.0,,Recently Updated!,0.5,1,520,"19 Singer Court, North York, ON",https://rentals.ca/north-york/19-singer-court-4,North York,43.7696608,-79.3698521
2100.0,Verified,,1,1,500,"219 Dundas Street East, Toronto, ON",https://rentals.ca/toronto/219-dundas-street-east-4,Toronto,43.657581,-79.37289
2150.0,Verified,,1,1,500,"49 East Liberty Street, Toronto, ON",https://rentals.ca/toronto/49-east-liberty-street-id907137,Toronto,43.63883,-79.41163499999999
2150.0,Verified,,2,1,980,"90 Canon Jackson Drive, Toronto, ON",https://rentals.ca/toronto/90-canon-jackson-drive-3,Toronto,43.6981954,-79.47256469999999
2150.0,Verified,,1,1,600,"7 Mabelle Avenue, Toronto, ON",https://rentals.ca/toronto/7-mabelle-avenue-5,Toronto,43.6464782,-79.5254652
2150.0,,,1,1,530,"319 Carlaw Avenue, Toronto, ON",https://rentals.ca/toronto/319-carlaw-avenue-id902159,Toronto,43.66437,-79.3411364
2150.0,Verified,,1,1,540,"560 Front Street West, Toronto, ON",https://rentals.ca/toronto/560-front-street-west-id905998,Toronto,43.64125,-79.3999726
2150.0,,Recently Updated!,1.5,1,520,"425 Front Street East, Toronto, ON",https://rentals.ca/toronto/425-front-street-east-id909698,Toronto,43.6526799,-79.35710999999999
2150.0,Verified,,1.5,1,600,"117 Broadway Avenue, Toronto, ON",https://rentals.ca/toronto/117-broadway-avenue-6,Toronto,43.71035699999999,-79.3925946
2150.0,Verified,,1,1,500,"195 MCCAUL Street, Toronto, ON",https://rentals.ca/toronto/195-mccaul-street-unit-603,Toronto,43.6567194,-79.39214460000001
2150.0,,Recently Updated!,0,1,400,"955 Bay Street, Toronto, ON",https://rentals.ca/toronto/955-bay-street-id822159,Toronto,43.6646319,-79.3869529
2150.0,,Recently Updated!,0,1,400,"197 Yonge Street, Toronto, ON",https://rentals.ca/toronto/197-yonge-street-id694648,Toronto,43.65343590000001,-79.3791875
2150.0,,,1,1,510,"38 Grenville Street, Toronto, ON",https://rentals.ca/toronto/38-grenville-street,Toronto,43.66188450000001,-79.3857031
