address,beds,baths,type,price,SqFt,listing#
50 Orchid Place Dr Room 1 Toronto,1,1,Condo Townhouse Multi-Level,1000,1000-1199,E9416947
330 Village Green Sq 8 Toronto,1,2,Condo Townhouse 3-Storey,1100,1200-1399,E9399099
3 Falaise Rd A2 Toronto,1,1,Condo Townhouse Stacked Townhse,1200,1400-1599,E10431570
10 Eddystone Ave 241 Toronto,1,2,Condo Apt 2-Storey,1200,1200-1399,W10407655
872 Browns Line 2 Toronto,1,1,Condo Apt Multi-Level,1250,1000-1199,W10423767
55 Cedarcroft Blvd 12 Toronto,1,1,Condo Townhouse 2-Storey,1250,1200-1399,C10441325
177 Linus Rd 1014 Toronto,1,1,Condo Apt Apartment,1280,900-999,C9295556
350 Alton Towers Circ 907 Toronto,1+1,1,Condo Apt Apartment,1300,700-799,E9381394
57 Finch Ave 27 Toronto,1,1,Condo Townhouse 2-Storey,1350,900-999,C10884899
11753 Sheppard Ave E 420 Toronto,1,1,Condo Apt Apartment,1350,1000-1199,E10422806
E18 Orchid Pl Room 2 Toronto,1,1,Condo Townhouse 3-Storey,1400,1000-1199,E10415851
1121 Bay St 1402 Toronto,1,1,Condo Apt Apartment,1400,1000-1199,C9398305
1378 Danforth Ave 3 Toronto,1,1,Condo Apt Apartment,1400,600-699,E9396307
7 Falaise Rd A Toronto,1,1,Condo Townhouse 2-Storey,1400,0-499,E9255134
420 Lake Shore G02 Blvd W 2nd Bed Toronto,1,1,Condo Townhouse Stacked Townhse,1450,0-499,C9256479
757 Dovercourt Rd F Toronto,1,1,Condo Apt Bachelor/Studio,1495,0-499,W10929171
909 Bay St 604-S Toronto,1,1,Condo Apt Apartment,1500,1000-1199,C9284109
17 Bathurst St 2901 Toronto,1+1,1,Room Apartment,1500,500-599,C9282402
3 Sudbury St 302 Toronto,1,1,Condo Townhouse Stacked Townhse,1500,700-799,C9752090
6A Leaside Park Dr Toronto,1,2,Room 3-Storey,1500,2500-2749,C10432649
1378 Danforth Ave 2 Toronto,1,1,Condo Apt Apartment,1500,600-699,E9396304
10 Capreol Crt 1057 Toronto,1,2,Condo Apt Apartment,1500,600-699,C9514453
57 St Joseph St 1123 Toronto,1,1,Shared Room Apartment,1500,0-499,C10408062
10 York St 1107 Toronto,1,1,Condo Apt Apartment,1500,600-699,C9344480
104 Regent St Toronto,1,1,Condo Townhouse 2-Storey,1550,1400-1599,C10404949
99 Broadway Ave 2709 Toronto,1,1,Condo Apt Apartment,1590,600-699,C10419429
827 Albion Rd Toronto,1,1,Upper Level Apartment,1600,500-599,W10291582
49 East Liberty St 2603 Toronto,1,1,Condo Apt Apartment,1600,800-899,C10781910
21 Carlton St 1205 Toronto,1,2,Room Apartment,1650,900-999,C9419501
60 Ann O'reilly Rd 260 Toronto,1,1,Condo Apt Apartment,1650,1200-1399,C9513758
47 Mutual St 802 Toronto,1,1,Condo Apt Apartment,1650,900-999,C9512857
57 St Joseph St 313 Toronto,1,1,Condo Apt Apartment,1650,1000-1199,C9398764
25 Adra Grado Way 1026 Br Toronto,1,1,Condo Apt Apartment,1680,1000-1199,C10418575
45 Charles St E 2312 Toronto,1,1,Condo Apt Apartment,1700,800-899,C10279421
25 Carlton St 2007 Toronto,1,1,Condo Apt Apartment,1700,800-899,C10420328
70 Forest Manor Rd 3308 Toronto,1,1,Condo Apt Apartment,1700,1000-1199,C10412749
32 Townsend Rd Toronto,1,1,Condo Townhouse 3-Storey,1750,500-599,C9344699
330 Richmond St W 603 Toronto,1,1,Condo Apt Apartment,1770,500-599,C9513282
1446 Yonge St 7 Toronto,1,1,Condo Apt Bachelor/Studio,1795,0-499,C10441502
750 Bay St 1110 Toronto,1,1,Condo Apt Apartment,1800,800-899,C9368047
195 McCaul St 1114 Toronto,1,1,Condo Apt Apartment,1800,0-499,C10414508
448 Spadina Rd 106 Toronto,1,1,Other Apartment,1845,500-599,C9419486
448 Spadina Rd 407 Toronto,1,1,Other Apartment,1845,500-599,C10415271
8 Cumberland St 4702 Toronto,1,1,Condo Apt Apartment,1850,700-799,C9395205
90 Glen Everest Rd 308 Toronto,1,1,Condo Apt Apartment,1850,0-499,E9768654
191 St George St 907 Toronto,1,1,Condo Apt Apartment,1850,600-699,C10416131
55 Bremner Blvd 3207 Toronto,1,1,Condo Apt Apartment,1850,800-899,C10422353
191 St George St 707 Toronto,1,1,Condo Apt Apartment,1850,600-699,C10414485
1 Falaise Rd 101 Toronto,1,1,Condo Apt Apartment,1850,0-499,E10431104
2191 Yonge St 811 Toronto,1,1,Condo Apt Apartment,1880,1000-1199,C9400140
2 Kingston Rd 16 Toronto,1,1,Co-Op Apt Apartment,1900,700-799,E10417226
126 Dundas St E 205 Toronto,1,1,Upper Level Apartment,1900,500-599,C9382446
4 Kingston Rd 39 Toronto,1,1,Co-Op Apt Apartment,1900,700-799,E9770105
12 Kingston Rd 77 Toronto,1,1,Co-Op Apt Apartment,1900,700-799,E9382560
