address,beds,baths,type,price,sqft,listing#,sqft_min,sqft_max,sqft_avg,Type,Style
1100 Sheppard Ave W 1118 Toronto,1+1,2,Condo Apt Apartment,2700,600-699,W9512691,600,699,649.5,Condo Apartment,Apartment
10 Northtown Way 1003 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C9256988,600,699,649.5,Condo Apartment,Apartment
319 Jarvis St LPH 01 Toronto,1+1,2,Condo Apt Apartment,2700,500-599,C9383167,500,599,549.5,Condo Apartment,Apartment
1169 Queen St W 601 Toronto,1,1,Condo Apt Apartment,2700,600-699,C10880184,600,699,649.5,Condo Apartment,Apartment
3 Navy Wharf Crt 2509 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C10406279,600,699,649.5,Condo Apartment,Apartment
1 Pemberton Ave 1703 Toronto,1+1,1,Condo Apt Apartment,2700,700-799,C9283744,700,799,749.5,Condo Apartment,Apartment
5 Sheppard Ave E 3516 Toronto,1,1,Condo Apt Apartment,2700,500-599,C10431369,500,599,549.5,Condo Apartment,Apartment
81 Navy Wharf Crt 1612 Toronto,1+1,1,Condo Apt Apartment,2700,700-799,C10430271,700,799,749.5,Condo Apartment,Apartment
1005 King St W 703 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C9365865,600,699,649.5,Condo Apartment,Apartment
168 Simcoe St 820 Toronto,1,1,Condo Apt Apartment,2700,600-699,C9393872,600,699,649.5,Condo Apartment,Apartment
181 Sheppard Ave E 433 Toronto,1,1,Condo Apt Apartment,2700,500-599,C10429322,500,599,549.5,Condo Apartment,Apartment
21 Iceboat Terr 1207 Toronto,1+1,1,Condo Apt Apartment,2700,700-799,C10416937,700,799,749.5,Condo Apartment,Apartment
197 yonge St 4311 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C10416736,600,699,649.5,Condo Apartment,Apartment
56 Annie Craig Dr 1007 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,W10426623,600,699,649.5,Condo Apartment,Apartment
377 Madison Ave 218 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C9367536,600,699,649.5,Condo Apartment,Apartment
88 Scott St 1004 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C10414729,600,699,649.5,Condo Apartment,Apartment
199 Richmond St W 1605 Toronto,1,1,Condo Apt Apartment,2700,500-599,C10431600,500,599,549.5,Condo Apartment,Apartment
85 East Liberty St 419 Toronto,1+1,2,Condo Apt Apartment,2700,700-799,C10413781,700,799,749.5,Condo Apartment,Apartment
190 Borough Dr 2909 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,E10331878,600,699,649.5,Condo Apartment,Apartment
3 Rean Dr 1709 Toronto,1+1,2,Condo Apt Apartment,2700,700-799,C10421078,700,799,749.5,Condo Apartment,Apartment
55 Charles St E 3110 Toronto,1+1,1,Condo Apt Apartment,2700,500-599,C9347410,500,599,549.5,Condo Apartment,Apartment
1030 King St W 1131 Toronto,1+1,1,Condo Apt Apartment,2700,600-699,C9798185,600,699,649.5,Condo Apartment,Apartment
335 Lonsdale Rd 405 Toronto,1+1,1,Condo Apt Apartment,2700,700-799,C9778513,700,799,749.5,Condo Apartment,Apartment
28 Freeland St 2308 Toronto,1+1,1,Condo Apt Apartment,2700,700-799,C10415413,700,799,749.5,Condo Apartment,Apartment
